auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,
auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon?,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Start/End date?,Title/Link,Sanderson? ,World
LG22,28,11,1768,EE,V,Semi Standard,FALSE,FALSE,,,Balanced,10,35.7%,7,1,24,3,7,0,1,1,2,11,2,,10,,,,Corenne al'Daishar,TRUE,Wheel of Time
QF16,17,9,355,V/E,V,Basic,FALSE,FALSE,,,Broken Mechanics,4,23.5%,2,2,15,2,5,0,0,2,1,7,0,,22,,,,Shades of Threnody,TRUE,Threnody
LG23,27,9,972,FAC,E,Semi Standard,FALSE,FALSE,,,Broken Distribution,5,18.5%,1,1,22,5,5,0,7,1,0,9,0,,10,,,,The Siege of Luthadel,TRUE,Scadrial
MR15,19,6,727,V/E,V,Semi Standard,FALSE,FALSE,,,Broken Mechanics,8,42.1%,4,0,10,8,2,1,0,0,1,6,0,,15,,,,The Dula Revolution,TRUE,Sel
LG24,28,9,1559,EE,E,Complex,FALSE,FALSE,,,Broken Distribution,10,35.7%,4,0,24,4,7,2,3,0,1,9,2,,1,,,,The Godless City,TRUE,Sel
QF17,25,10,430,FFA,FFA,Faction/FFA,FALSE,FALSE,,,Balanced,0,0.0%,0,0,25,0,0,0,18,0,0,7,0,,1,,,,Gotta Kil 'Em All,FALSE,Pokemon
LG25,24,6,473,V/E,E,Standard,FALSE,FALSE,,,Balanced,7,29.2%,2,0,15,9,7,0,2,0,0,6,0,,1,,,,A Breath of Power,TRUE,Nalthis
MR16,22,10,537,FAC,F,Faction/FFA,FALSE,FALSE,,,Well Balanced,0,0.0%,0,0,20,2,0,0,11,0,0,6,3,,0,,,,War of the (Cosmere) Worlds),TRUE,Cross-Cosmere
LG26,35,9,1344,FAC,Misc,Complex,FALSE,FALSE,,,Broken Mech. and Dist,10,28.6%,4,0,17,18,3,0,6,0,0,6,2,,0,,,,Cognitive Dissonance,TRUE,Cross-Cosmere
QF18,15,7,323,V/E,V,Semi Standard,FALSE,FALSE,,,Broken Mechanics,4,26.7%,3,1,13,2,5,0,0,1,0,6,1,,2,,,,The Black Prism,FALSE,Black Prism
MR17,21,8,589,V/E,E,Semi Standard,FALSE,FALSE,,,Broken Mechanics,7,33.3%,2,1,16,4,3,5,1,1,0,5,1,,0,,,,Hic Sunt Leones,FALSE,Red Rising
LG27,22,7,392,FAC,F,Complex,FALSE,FALSE,,,Very Broken Mechanics,0,0.0%,0,0,14,8,0,0,8,0,0,6,0,,2,,,,Strife in Ankh Morpork,FALSE,Discworld
QF19,24,7,464,V/E,V,Standard,FALSE,FALSE,,,Balanced,6,25.0%,4,1,22,2,6,0,1,1,3,7,4,,2,,,,Noble Intentions,TRUE,Scadrial
LG28,34,11,980,CON,V,Complex,FALSE,FALSE,,,Broken Mechanics,6,17.6%,4,0,22,12,9,0,0,0,3,10,0,,5,,,,Awakening at the House on the Hill,TRUE,Nalthis
MR18,19,7,357,V/E,E,Basic,FALSE,FALSE,,,Well Balanced,5,26.3%,1,0,15,4,6,0,0,0,0,7,2,,3,,,,Patji's Cauldron,TRUE,First of the Sun
QF20,23,8,434,V/E,E,Standard,FALSE,FALSE,,,Balanced,4,17.4%,2,0,21,2,8,0,0,0,0,8,5,,4,,,,Summitmist Manor,FALSE,Elder Scrolls
LG29,29,8,984,V/E,E,Complex,FALSE,FALSE,,,Broken Mechanics,8,27.6%,1,0,14,15,2,4,2,0,0,6,0,,3,,,,A Mote in Adonalsium's Eye,TRUE,Cross-Cosmere
MR19,20,3,329,V/E,Misc,Semi Standard,FALSE,FALSE,,,Balanced,4,20.0%,0,0,8,12,2,0,2,0,1,3,0,,1,,,,Return to Urithiru,TRUE,Roshar
AG3,34,15,1403,V/E,E,Standard,FALSE,FALSE,,,Balanced,6,17.6%,2,0,25,9,14,0,0,0,0,11,0,,2,,,,The Curse of the Koloss,TRUE,Scadrial
QF21,16,8,124,,V,Standard,FALSE,FALSE,,,,3,18.8%,2,0,11,5,0,0,0,0,0,8,3,,2,,,,"The Name's Smith, John Smith",FALSE,
LG30,22,9,958,,E,Complex,FALSE,FALSE,,,,5,22.7%,0,0,8,9,7,0,0,0,0,1,0,,2,,,,Journey Before Destination,TRUE,Roshar
MR20,21,10,360,V/E,E,Basic,FALSE,FALSE,,,,1,4.8%,0,0,20,1,10,0,0,0,1,9,0,,1,,,,With Ruin Beside Us,TRUE,Scadrial
LG31,17,2,313,,V,Semi Standard,FALSE,FALSE,,,Broken Distribution,3,17.6%,0,2,9,8,3,0,1,2,1,2,0,,3,,,,A World Without Vin,TRUE,Scadrial
QF22,22,3,246,,E,Standard,FALSE,FALSE,,,,6,27.3%,0,0,10,12,6,0,0,0,0,4,0,,3,,,,Ghosts in the Night,TRUE,Roshar
LG32,30,11,962,CON,V,Standard,FALSE,FALSE,,,Balanced,5,16.7%,3,1,17,13,5,0,0,1,2,8,1,,2,,,,Pulling on Strings,TRUE,Scadrial
MR21,18,5,368,,E,Standard,FALSE,FALSE,,,Broken Distribution,5,27.8%,1,0,11,7,6,0,0,0,0,5,0,,1,,,,The Battle for Nebrask,TRUE,Rithmatist
LG33,27,10,1286,V/E,V,Complex,FALSE,FALSE,,,Broken Mech. and Dist,6,22.2%,0,3,15,6,2,0,7,3,3,0,0,,1,,,,Life,FALSE,KKC
QF23,20,6,395,,E,Standard,FALSE,FALSE,,,,5,25.0%,1,3,18,2,4,0,0,3,4,7,0,,1,,,,You Don't Want to Play This Game,TRUE,Alcatraz
