,,auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,,,
format,num,auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Title/Link,Sanderson? ,World,start_date,end_date,link
MR,19,MR19,20,3,329,V/E,Misc,Semi Standard,FALSE,,,,Balanced,4,20.0%,0,0,8,12,2,0,2,0,1,3,0,,1,,,Return to Urithiru,TRUE,Roshar,,,
AG,3,AG3,34,15,1403,V/E,E,Standard,FALSE,,,,Balanced,6,17.6%,2,0,25,9,14,0,0,0,0,11,0,,2,,,The Curse of the Koloss,TRUE,Scadrial,,,
QF,21,QF21,16,8,124,,V,Standard,FALSE,,,,,3,18.8%,2,0,11,5,0,0,0,0,0,8,3,,2,,,"The Name's Smith, John Smith",FALSE,,,,
LG,30,LG30,22,9,958,,E,Complex,FALSE,,,,,5,22.7%,0,0,8,9,7,0,0,0,0,1,0,,2,,,Journey Before Destination,TRUE,Roshar,,,
MR,20,MR20,21,10,360,V/E,E,Basic,FALSE,,,,,1,4.8%,0,0,20,1,10,0,0,0,1,9,0,,1,,,With Ruin Beside Us,TRUE,Scadrial,,,
LG,31,LG31,17,2,313,,V,Semi Standard,FALSE,,,,Broken Distribution,3,17.6%,0,2,9,8,3,0,1,2,1,2,0,,3,,,A World Without Vin,TRUE,Scadrial,,,
QF,22,QF22,22,3,246,,E,Standard,FALSE,,,,,6,27.3%,0,0,10,12,6,0,0,0,0,4,0,,3,,,Ghosts in the Night,TRUE,Roshar,,,
LG,32,LG32,30,11,962,CON,V,Standard,FALSE,,,,Balanced,5,16.7%,3,1,17,13,5,0,0,1,2,8,1,,2,,,Pulling on Strings,TRUE,Scadrial,,,
MR,21,MR21,18,5,368,,E,Standard,FALSE,,,,Broken Distribution,5,27.8%,1,0,11,7,6,0,0,0,0,5,0,,1,,,The Battle for Nebrask,TRUE,Rithmatist,,,
LG,33,LG33,27,10,1286,V/E,V,Complex,FALSE,,,,Broken Mech. and Dist,6,22.2%,0,3,15,6,2,0,7,3,3,0,0,,1,,,Life,FALSE,KKC,,,
QF,23,QF23,20,6,395,,E,Standard,FALSE,,,,,5,25.0%,1,3,18,2,4,0,0,3,4,7,0,,1,,,You Don't Want to Play This Game,TRUE,Alcatraz,,,
MR,22,MR22,20,9,628,,D,Standard,FALSE,,,,,5,25.0%,4,0,15,5,7,0,0,0,0,8,0,,2,,,My Little Perfidy,FALSE,My Little Pony,,,
LG,34,LG34,21,9,848,,V,Standard,FALSE,,,,,4,19.0%,3,1,16,5,5,0,1,1,0,9,0,,0,,,Allomancer,TRUE,Scadrial,,,
QF,24,QF24,17,6,433,V/E,V,Basic,FALSE,,,,,3,17.6%,2,1,10,7,3,0,0,1,1,5,0,,1,,,Eliminating Elysium,TRUE,Other Sanderson,,,
LG,35,LG35,28,8,1742,V/E,E,Semi Standard,FALSE,,,,Broken Mechanics,4,14.3%,1,0,15,13,6,0,0,0,1,8,0,,1,,,L35 Miserables,TRUE,Les Miserables,,,
MR,23,MR23,22,9,735,FAC,V,Semi Standard,FALSE,,,,Broken Mechanics,0,0.0%,0,0,14,8,0,0,8,0,0,6,0,,0,,,A Desperate Alliance,TRUE,Roshar,,,
LG,36,LG36,21,8,685,,V,Complex,FALSE,,,,,4,19.0%,1,2,12,9,4,0,2,2,0,4,0,,1,,,State of Being,TRUE,Cross-Cosmere,,,
QF,25,QF25,24,7,835,V/E,E,Basic,FALSE,,,,Broken Distribution,2,8.3%,1,0,20,4,13,0,0,0,0,6,1,,7,,,A Sundered Sky,TRUE,Roshar,,,
LG,37,LG37,34,5,1108,U,Misc,Complex,FALSE,,,,,6,17.6%,0,0,0,1,0,0,0,0,0,0,0,,7,,,Coyote Stories,FALSE,Gunnerkrigg Court,,,
MR,24,MR24,26,8,883,,Misc,,FALSE,,,,,8,30.8%,4,0,17,8,6,1,2,0,0,8,0,,5,,,Baleful Eye,TRUE,Reckoners,,,
LG,38,LG38,32,5,780,U,None,Complex,FALSE,,,,Very Broken Mechanics,0,0.0%,0,0,4,27,0,0,3,0,0,1,0,,2,,,In the Beginning,TRUE,Cross-Cosmere,,,
QF,26,QF26,31,16,522,U,V,Basic,FALSE,,,,Broken Mechanics,0,0.0%,0,0,15,16,0,0,9,0,0,6,0,,0,,,Stop the Madness,TRUE,Threnody,,,
