,game_string,num_cycles,num_posts,fundamentals,winner,complexity,broken,setting,world,is_anon,format,game_num,is_broken,game_id,IM_id
52,MR14,5,554.0,V/E,V,Semi Standard,Broken Mechanics,Non Sanderson,,,MR,14.0,Y,53,20.0
53,LG22,11,1768.0,Multiple E,V,Semi Standard,Balanced,Wheel of Time,,,LG,22.0,,54,20.0
54,QF16,9,355.0,V/E,V,Basic,Broken Mechanics,Cosmere,,,QF,16.0,Y,55,7.0
55,LG23,9,972.0,Faction,E,Semi Standard,Broken Distribution,Cosmere,,,LG,23.0,,56,12.0
56,MR15,6,727.0,V/E,V,Semi Standard,Broken Mechanics,Cosmere,,,MR,15.0,Y,57,20.0
57,LG24,9,1559.0,Multiple E,E,Complex,Broken Distribution,Cosmere,,,LG,24.0,Y,58,1.0
58,QF17,10,430.0,FFA,FFA,Faction/FFA,Balanced,Non Sanderson,,,QF,17.0,,59,12.0
59,LG25,6,473.0,V/E,E,Standard,Balanced,Cosmere,,,LG,25.0,,60,12.0
60,MR16,10,537.0,Faction,F,Faction/FFA,Well Balanced,Cosmere,,,MR,16.0,,61,1.0
61,LG26,9,1344.0,Faction,Misc,Complex,Broken Mech. and Dist,Cosmere,,,LG,26.0,Y,62,20.0
62,QF18,7,323.0,V/E,V,Semi Standard,Broken Mechanics,Non Sanderson,,,QF,18.0,,63,12.0
63,MR17,8,589.0,V/E,E,Semi Standard,Broken Mechanics,Non Sanderson,,,MR,17.0,,64,12.0
64,LG27,7,392.0,Faction,F,Complex,Very Broken Mechanics,Non Sanderson,,,LG,27.0,Y,65,20.0
65,QF19,7,464.0,V/E,V,Standard,Balanced,Cosmere,,,QF,19.0,,66,1.0
66,LG28,11,980.0,Conversion,V,Complex,Broken Mechanics,Cosmere,,,LG,28.0,,67,20.0
67,MR18,7,357.0,V/E,E,Basic,Well Balanced,Cosmere,,,MR,18.0,,68,12.0
68,QF20,8,434.0,V/E,E,Standard,Balanced,Non Sanderson,,,QF,20.0,,69,12.0
69,LG29,8,984.0,V/E,E,Complex,Broken Mechanics,Cosmere,,,LG,29.0,Y,70,1.0
70,MR19,3,329.0,V/E,Misc,Semi Standard,Balanced,Cosmere,,,MR,19.0,,71,20.0
71,AG3,15,1403.0,V/E,E,Standard,Balanced,Cosmere,,,AG,3.0,,72,20.0
72,QF21,8,124.0,,V,Standard,,Non Sanderson,,,QF,21.0,,73,20.0
73,LG30,9,958.0,,E,Complex,,Cosmere,,,LG,30.0,,74,1.0
74,MR20,10,360.0,V/E,E,Basic,,Cosmere,,,MR,20.0,,75,12.0
75,LG31,2,313.0,,V,Semi Standard,Broken Distribution,Cosmere,,,LG,31.0,,76,12.0
76,QF22,3,246.0,,E,Standard,,Cosmere,,,QF,22.0,,77,
77,LG32,11,962.0,Conversion,V,Standard,Balanced,Cosmere,,,LG,32.0,,78,20.0
78,MR21,5,368.0,,E,Standard,Broken Distribution,Non Cosmere,,,MR,21.0,Y,79,20.0
79,LG33,10,1286.0,V/E,V,Complex,Broken Mech. and Dist,Non Sanderson,,,LG,33.0,Y,80,1.0
80,QF23,6,395.0,,E,Standard,,Non Cosmere,,,QF,23.0,,81,20.0
81,MR22,9,628.0,,D,Standard,,Non Sanderson,,,MR,22.0,,82,12.0
82,LG34,9,848.0,,V,Standard,,Cosmere,,,LG,34.0,,83,20.0
83,QF24,6,433.0,V/E,V,Basic,,Non Cosmere,,,QF,24.0,,84,1.0
84,LG35,8,1742.0,V/E,E,Semi Standard,Broken Mechanics,Cosmere,,,LG,35.0,Y,85,20.0
85,MR23,9,735.0,Faction,V,Semi Standard,Broken Mechanics,Cosmere,,,MR,23.0,Y,86,12.0
86,LG36,8,685.0,,V,Complex,,Cosmere,,,LG,36.0,Y,87,12.0
87,QF25,7,835.0,V/E,E,Basic,Broken Distribution,Cosmere,,,QF,25.0,,88,20.0
88,LG37,5,1108.0,Unique,Misc,Complex,,Non Sanderson,,,LG,37.0,,89,12.0
89,MR24,8,883.0,,Misc,,,Non Cosmere,,,MR,24.0,,90,108.0
90,LG38,5,780.0,Unique,None,Complex,Very Broken Mechanics,Cosmere,,,LG,38.0,Y,91,20.0
91,QF26,16,522.0,Unique,V,Basic,Broken Mechanics,Cosmere,,,QF,26.0,,92,108.0
92,QF27,6,336.0,V/E,E,Standard,,Non Sanderson,,,QF,27.0,,93,77.0
93,LG39,10,562.0,Conversion,E,Standard,,Cosmere,,,LG,39.0,,94,20.0
94,MR25,9,433.0,,E,Standard,,Cosmere,,,MR,25.0,,95,20.0
95,LG40,8,550.0,Faction,F,,,Cosmere,,,LG,40.0,,96,108.0
96,QF28,7,233.0,,Misc,Basic,,,,,QF,28.0,,97,77.0
97,MR26,6,351.0,,V,Standard,,Cosmere,,,MR,26.0,,98,108.0
98,LG41,5,410.0,,F,Semi Standard,,Cosmere,,,LG,41.0,,99,20.0
99,AG4,12,1054.0,V/E,E,Standard,Balanced,Cosmere,,,AG,4.0,,100,12.0
100,QF29,4,175.0,,E,Standard,,Cosmere,,,QF,29.0,,101,108.0
101,MR27,6,388.0,,V,Basic,,Non Cosmere,,,MR,27.0,,102,77.0
102,LG42,8,352.0,Unique,FFA,Faction/FFA,Balanced,Cosmere,,,LG,42.0,Y,103,20.0
103,QF30,8,520.0,,E,Basic,,Cosmere,,,QF,30.0,,104,108.0
104,LG43,5,1385.0,Multiple E,Misc,Complex,,Cosmere,,,LG,43.0,Y,105,12.0
105,MR28,6,443.0,,F,,,Cosmere,,,MR,28.0,,106,12.0
106,LG44,8,1185.0,Multiple E,V,Complex,,Cosmere,,,LG,44.0,,107,108.0
107,LG45,7,268.0,,V,Faction/FFA,,Non Cosmere,,,LG,45.0,,108,108.0
108,QF31,8,509.0,,F,Faction/FFA,,Cosmere,,,QF,31.0,,109,77.0
109,MR29,5,406.0,V/E,V,Semi Standard,,Non Sanderson,,,MR,29.0,Y,110,77.0
110,LG46,10,862.0,,E,Semi Standard,,Non Sanderson,,,LG,46.0,Y,111,20.0
111,QF32,5,305.0,,V,Basic,,Cosmere,,,QF,32.0,Y,112,108.0
